app_type_code,finance_custom_income_type_desc,asset_type_desc,mean_type_desc,business_type_desc,scene_desc,consume_unt_1d,consume_cnt_1d,consume_amt_1d,cost_amt_1d,subsidy_amt_1d,system_give_amt_1d,system_give_tebean_amt_1d,system_give_gift_amt_1d,system_give_prop_amt_1d,system_give_daibi_amt_1d,return_cnt_1d,return_amt_1d,return_cost_amt_1d,return_subsidy_amt_1d,revenue_amt_1d,cost_revenue_amt_1d,subsidy_revenue_amt_1d,personal_income_amt_1d,profit_amt_1d,dt
fengyue,分成收入,shell_asset,business,聊天室,送礼,1802,1583,165833,328794.47,320959.31,171,,32239,33283,,446,25421,38264,10270,77915,95373.68,357748.28,262694,64309.37,20260130
taqu,充值收入,shell_asset,business,帖子,充值,1953,4541,174603,341058.95,21609.02,12274,,14693,5701,,1904,44785,25728,20647,102533,79311.01,118946.44,364042,134194.35,20260130
shanlian,活动补贴,全部,business,聊天室,充值,537,4867,361744,26815.05,69827.05,8385,,16100,17553,,997,4904,19137,27779,415346,306187.11,443114.93,306792,48605.13,20260130
shanlian,活动补贴,shell_asset,business,家族,送礼,1870,1218,19266,20477.26,56773.07,16480,,4826,12750,,1995,20261,17397,23622,295489,137047.36,235053.63,205325,22231.41,20260130
shantang,充值收入,全部,finance,聊天室,贝壳分成,302,3912,354943,366209.52,392847.77,27425,,21294,1944,,1505,26556,6774,10080,88531,434651.79,453175.9,283650,129821.48,20260130
taqu,分成收入,shell_asset,business,家族,视频,1141,2889,130197,335598.33,468404.96,24312,,24229,21223,,1189,21821,3345,8262,213851,106122.99,166415.15,3469,99944.48,20260130
fengyue,充值收入,tqbean_asset,finance,社交,视频,839,1570,302282,361587.42,30858.21,44457,,26939,2317,,1064,11661,45500,48616,432437,122098.24,282782.57,377944,132137.89,20260130
shantang,礼物收入,tqbean_asset,finance,群聊,充值,127,4622,232848,187262.37,168579.35,1531,,26241,6827,,1583,39681,2433,28289,337282,469275.53,231113.62,481132,144260.42,20260130
shanlian,充值收入,tqbean_asset,finance,聊天室,充值,1196,1710,132566,154669.36,16582.3,28601,,39264,31170,,1868,7504,25060,11948,381742,36942.85,324526.71,359591,47534.14,20260130
shantang,充值收入,全部,business,聊天室,贝壳分成,1248,1201,58969,1222.23,168587.51,1631,,31482,5573,,354,27387,2760,3647,470661,279612.8,442230.28,267862,46634.71,20260130
fengyue,活动补贴,tqbean_asset,business,全端,送礼,646,2343,325290,279829.9,245497.78,35486,,35091,29157,,1824,35881,9521,4072,209835,96757.84,79389.71,346152,103710.62,20260130
taqu,充值收入,shell_asset,finance,聊天室,语音,529,3407,368935,209543.12,251634.72,21236,,9001,48539,,1005,26761,861,37215,218605,409236.78,410957.79,339074,85317.39,20260130
shanlian,充值收入,全部,business,全端,语音,362,2963,241713,108759.46,275056.15,45539,,16423,30754,,1121,35149,17096,923,231483,1801.76,348438.98,317716,54516.92,20260130
shanlian,分成收入,shell_asset,finance,全端,视频,176,1165,474418,307410.84,250061.58,29737,,10037,35766,,317,26141,34239,4017,417105,299369.52,256324.76,76875,178716.17,20260130
taqu,活动补贴,tqbean_asset,business,群聊,送礼,2,2798,102694,432843.37,37265.91,33813,,27803,2180,,792,47751,47004,26071,284556,257655.52,397449.24,38939,137994.74,20260130
fengyue,活动补贴,shell_asset,business,群聊,贝壳分成,131,1182,244429,291316.65,95454.08,8074,,11416,49870,,537,8751,36480,44873,189248,119111.2,186540.32,359490,54011.39,20260130
fengyue,礼物收入,全部,finance,直播,游戏,1139,2143,291590,9860.27,219996.04,46035,,7766,30885,,1417,33714,47443,44902,209917,242949.44,449206.04,192423,34110.01,20260130
fengyue,礼物收入,全部,finance,全端,视频,1693,2336,30521,142490.63,112467.7,35911,,37944,24444,,906,39131,24858,29688,366680,75833.12,456005.95,216155,16647.5,20260130
taqu,礼物收入,tqbean_asset,finance,家族,游戏,1894,4,26865,338142.79,25498.14,6955,,32529,36390,,741,1840,47612,11574,6197,186112.0,74298.63,348716,57811.98,20260130
fengyue,充值收入,全部,finance,趣聊,送礼,167,97,353674,86074.31,450610.09,30845,,23886,40918,,969,17631,42494,30193,353600,346409.38,331805.59,491294,66752.54,20260130
shantang,活动补贴,全部,business,群聊,贝壳分成,633,2084,435901,380041.99,173274.32,25138,,43457,44446,,1260,48627,16902,43840,339972,82881.75,140640.33,212055,56842.69,20260130
shanlian,分成收入,shell_asset,finance,帖子,贝壳分成,1742,3001,48714,450228.3,497682.74,15620,,30053,40147,,1778,29107,27770,49256,207340,370779.3,385723.19,360042,121584.97,20260130
fengyue,分成收入,tqbean_asset,business,聊天室,语音,1016,724,423800,397857.53,150589.32,43076,,3042,23800,,610,40329,47421,25623,270643,254569.97,137516.22,308402,122454.89,20260130
peipei,充值收入,shell_asset,business,直播,充值,580,369,353286,177742.38,127745.9,21672,,1756,37023,,1182,36558,28621,13703,95765,129218.53,382426.31,166376,29071.43,20260130
fengyue,礼物收入,tqbean_asset,finance,聊天室,贝壳分成,1971,464,477649,350567.27,185972.4,45415,,4641,35011,,840,44395,27806,33533,319652,276951.51,497732.82,168562,119290.86,20260130
shantang,充值收入,shell_asset,business,聊天室,送礼,1024,1717,27428,409367.13,226979.89,45511,,13012,42653,,1419,34856,544,49765,20910,442374.87,73898.36,450062,83718.22,20260130
shantang,分成收入,全部,finance,家族,送礼,685,2718,155454,273324.47,81982.69,37646,,33884,31737,,1770,6683,47071,39961,73875,484192.78,426932.58,421719,56383.15,20260130
shanlian,分成收入,shell_asset,business,社交,送礼,603,1429,306118,123953.3,227833.61,6795,,31573,47255,,1881,16519,44708,31092,416495,439789.51,40302.03,225328,15704.53,20260130
shantang,活动补贴,全部,finance,全端,语音,704,1180,325842,416089.88,90464.6,29229,,28040,40610,,1061,42536,40544,29818,309162,496575.4,262368.32,493202,94127.43,20260130
shanlian,活动补贴,全部,business,社交,视频,1553,2415,36318,117800.08,2135.7,40001,,8925,47319,,1417,13961,27259,213,362417,164146.63,301033.46,95417,139075.9,20260130
shanlian,充值收入,shell_asset,business,聊天室,充值,1056,4938,14268,55439.96,420148.11,34602,,18765,19307,,1237,15886,27651,47105,413308,334539.88,203561.78,482933,177417.37,20260130
shanlian,分成收入,tqbean_asset,finance,群聊,贝壳分成,1887,1966,454983,448129.04,483043.98,30496,,1849,43072,,686,40192,16536,33977,15862,433194.49,483900.21,53549,75753.47,20260130
shantang,分成收入,全部,business,趣聊,充值,508,433,111767,418498.35,480110.98,11551,,42635,46889,,1860,32247,4417,35185,216979,317869.86,80975.53,156369,91313.65,20260130
shanlian,充值收入,tqbean_asset,finance,群聊,充值,1281,626,109946,271803.18,7168.12,35686,,12190,36542,,1105,49695,3112,25892,218206,38787.13,348477.24,156661,69343.37,20260130
peipei,分成收入,shell_asset,finance,家族,语音,886,2671,371537,416690.35,39952.44,1882,,10829,41187,,1393,34226,11535,22189,73143,38013.25,85677.92,347483,104662.32,20260130
peipei,分成收入,全部,finance,群聊,语音,1708,2232,204531,294665.98,357375.64,34470,,49884,20326,,1099,32866,10244,45395,440768,266307.83,143279.24,463170,7200.67,20260130
shantang,充值收入,tqbean_asset,finance,直播,贝壳分成,343,4426,291235,433523.86,230135.78,48076,,49455,10982,,1527,10442,1099,13630,454799,216295.39,190817.64,228840,196032.55,20260130
shantang,分成收入,全部,business,全端,充值,875,4436,368272,331701.14,168962.08,30880,,9438,34680,,1513,24819,1904,47341,127507,74771.61,252909.49,478553,96623.42,20260130
peipei,活动补贴,shell_asset,finance,帖子,贝壳分成,14,3331,95418,332919.04,113777.99,14540,,17429,41794,,710,49439,49594,41720,369220,184141.46,121358.94,466987,85056.57,20260130
shantang,分成收入,shell_asset,finance,趣聊,送礼,521,2708,111655,169828.44,178226.43,38273,,30789,14308,,1928,8246,30296,14458,390837,318014.18,412457.09,89241,110150.17,20260130
fengyue,活动补贴,全部,finance,直播,语音,85,1248,173574,171091.48,145176.88,26905,,34157,39559,,1617,45898,44822,14610,303482,397881.9,446186.53,240204,129847.8,20260130
shanlian,礼物收入,shell_asset,business,聊天室,游戏,1100,566,188578,394357.49,210662.89,18709,,26196,42265,,476,34579,25622,22496,199289,304361.08,148509.99,146033,102979.85,20260130
shanlian,分成收入,全部,finance,群聊,充值,383,1460,326945,424070.37,482421.37,10684,,18574,35675,,676,23085,35039,30490,481306,344735.89,14503.71,345629,169803.0,20260130
shantang,活动补贴,shell_asset,business,帖子,充值,863,2249,16658,244094.85,12014.72,36382,,38970,21170,,121,5579,8439,47081,24745,112694.46,477607.6,301948,102330.44,20260130
taqu,分成收入,tqbean_asset,business,帖子,充值,1114,1833,129892,177926.85,274861.89,3495,,21002,35921,,78,35444,44148,1108,496315,58483.99,409304.74,108373,91406.86,20260130
shantang,分成收入,shell_asset,finance,家族,充值,1302,3685,257426,82850.39,383473.3,4645,,20890,24967,,1245,28278,43257,40697,192985,231339.98,458259.39,350112,179594.79,20260130
shanlian,活动补贴,全部,business,全端,游戏,1167,3038,192856,12709.02,171301.65,42502,,15728,45110,,792,8782,36906,46535,331109,41489.42,57366.47,269455,72909.97,20260130
shanlian,充值收入,全部,business,聊天室,充值,1412,2563,68672,369534.27,331402.08,24049,,9398,4043,,1831,43826,34707,42286,262470,82012.78,379653.73,206756,130022.27,20260130
taqu,充值收入,tqbean_asset,business,聊天室,语音,1006,2419,372523,147925.77,74468.88,13402,,2645,43569,,969,41331,25278,40826,462268,131038.53,101240.59,268902,146130.22,20260130
peipei,活动补贴,tqbean_asset,finance,趣聊,贝壳分成,742,1982,90336,361747.72,45780.96,11044,,48354,18645,,19,48285,46021,11329,305528,100137.51,386451.86,122448,57912.3,20260130
taqu,礼物收入,tqbean_asset,finance,社交,游戏,1845,317,189633,359215.06,330017.3,23172,,31339,37465,,1193,37236,4006,46360,14108,141156.56,408649.72,318652,182619.63,20260130
taqu,充值收入,tqbean_asset,business,趣聊,语音,832,66,45269,276844.08,297171.73,7461,,13365,19831,,1972,47832,15284,17169,419978,251169.75,183444.88,35996,40425.72,20260130
peipei,充值收入,shell_asset,business,群聊,游戏,851,714,97328,246784.41,145177.07,8416,,7600,7634,,53,10841,40582,5656,462868,347902.75,101908.15,43821,198786.41,20260130
taqu,活动补贴,全部,business,聊天室,游戏,70,1333,324046,262821.26,301170.93,36441,,35719,42252,,1456,4602,37905,24893,355166,206084.29,404784.75,82723,37651.18,20260130
peipei,礼物收入,全部,finance,聊天室,送礼,1373,1777,100764,160466.72,482112.81,47648,,45625,13559,,905,9935,15302,49831,225988,440500.77,313017.65,256406,10766.91,20260130
shanlian,分成收入,tqbean_asset,finance,聊天室,贝壳分成,445,4488,472862,281592.43,309190.33,33172,,49986,31400,,73,21040,1977,7340,125398,361088.48,390860.78,12019,152688.49,20260130
shantang,活动补贴,全部,business,社交,视频,56,4039,40167,128050.9,259619.32,25614,,22606,3803,,1015,29739,22724,49226,368760,76748.05,353743.12,342369,91846.06,20260130
shantang,分成收入,全部,finance,聊天室,送礼,807,213,437910,97923.12,248731.56,42106,,33018,47716,,190,42750,44029,48781,403268,27435.13,385271.61,361772,151008.63,20260130
taqu,分成收入,tqbean_asset,finance,帖子,视频,817,3781,11906,6832.14,296903.99,18411,,26384,39137,,813,44985,39622,16093,451567,357856.72,493407.46,129928,43640.01,20260130
fengyue,礼物收入,shell_asset,finance,直播,贝壳分成,1395,2607,274158,409396.1,390675.45,38010,,32471,4305,,1343,3182,36663,27581,103756,124823.59,108101.32,112980,168876.01,20260130
fengyue,分成收入,shell_asset,business,家族,贝壳分成,1109,4310,289438,96348.94,437635.79,11213,,15951,30678,,1228,47986,341,37864,258415,93252.07,262299.46,466271,65004.5,20260130
peipei,活动补贴,全部,business,趣聊,贝壳分成,561,2916,165866,499468.08,56284.85,40645,,7492,37755,,1600,1568,14075,20369,272304,430965.68,389142.75,123316,85673.11,20260130
peipei,分成收入,tqbean_asset,business,帖子,游戏,1722,1577,76215,476423.75,265944.54,2132,,16914,45538,,842,16733,28768,23861,272043,155600.47,210545.82,419201,54694.01,20260130
fengyue,活动补贴,tqbean_asset,business,全端,充值,1005,723,68298,19295.56,113992.48,29974,,21818,22623,,1177,28984,31508,26190,19564,60914.14,179175.13,158287,974.18,20260130
taqu,活动补贴,shell_asset,finance,聊天室,语音,899,1460,285238,56369.92,155802.92,14036,,46074,24854,,148,27136,35324,24982,62003,50988.74,193355.23,16277,171949.53,20260130
fengyue,礼物收入,全部,finance,聊天室,视频,1532,181,410357,166423.77,169892.59,41326,,17669,24843,,1863,16921,11498,48596,208790,250388.12,123399.29,265581,150611.92,20260130
shantang,分成收入,tqbean_asset,business,全端,送礼,406,2376,459950,399647.92,136345.57,44956,,20628,18403,,1735,37132,23211,44208,215100,393964.64,14331.11,121040,198495.24,20260130
taqu,分成收入,全部,finance,聊天室,充值,1016,1227,115629,484337.05,188203.63,38472,,30905,17501,,257,45250,6487,42705,449440,363389.2,382976.33,389936,174457.37,20260130
shantang,充值收入,全部,business,群聊,贝壳分成,1609,453,494037,290464.9,418866.05,41351,,29555,1407,,396,16950,1925,46932,316963,286793.37,203193.77,481674,181376.78,20260130
taqu,礼物收入,tqbean_asset,business,聊天室,贝壳分成,1619,2126,448860,445794.8,386822.16,1262,,15764,18028,,1286,16507,36829,17826,98995,435802.55,480603.96,426220,92679.62,20260130
taqu,充值收入,shell_asset,business,群聊,贝壳分成,1353,4721,175837,438136.45,62056.79,11877,,38922,23291,,583,40177,49076,25375,224262,288038.85,146841.84,437941,16908.7,20260130
fengyue,分成收入,tqbean_asset,business,家族,语音,345,4100,4064,483614.55,56122.99,48659,,47084,4380,,915,13414,17753,20056,241674,289979.15,391577.96,365490,150252.33,20260130
peipei,充值收入,shell_asset,finance,趣聊,视频,1457,1743,288779,113976.48,81153.1,18251,,47990,33710,,996,47083,5970,45013,358359,426121.18,26510.41,233285,2551.84,20260130
peipei,充值收入,全部,business,聊天室,贝壳分成,1343,2767,235128,202517.85,37446.11,48394,,15689,2683,,1789,37111,19774,36663,147766,44931.09,460500.84,151214,34746.04,20260130
shantang,活动补贴,tqbean_asset,finance,家族,贝壳分成,436,3959,88595,337251.47,404838.93,46723,,23540,26567,,1007,37603,36359,8171,345791,104059.34,459151.99,217346,177052.07,20260130
fengyue,分成收入,全部,business,社交,送礼,1695,678,179123,258826.27,64947.33,47760,,47772,4243,,1772,30719,2458,44245,466672,260870.29,297258.78,38264,186471.99,20260130
taqu,礼物收入,tqbean_asset,business,全端,送礼,155,2463,489173,200664.38,127289.3,46698,,42574,5355,,1193,33085,15801,3955,397540,288281.18,181620.43,159085,34492.38,20260130
shanlian,充值收入,全部,business,全端,贝壳分成,378,1975,260592,499994.43,334552.68,19162,,36671,44216,,1014,30047,310,3703,245763,280158.74,443678.05,331624,29406.32,20260130
shantang,活动补贴,tqbean_asset,finance,趣聊,送礼,1537,4545,434274,15397.12,484456.1,49476,,10878,26619,,1170,38374,3958,40272,214485,332922.11,205967.37,10238,29680.51,20260130
fengyue,充值收入,全部,finance,家族,游戏,1324,2957,240844,31588.66,153719.43,49675,,43819,34708,,1996,7105,47007,76,434691,6935.94,341432.8,390607,94477.31,20260130
peipei,分成收入,tqbean_asset,finance,直播,视频,1065,497,276682,315756.83,375907.13,27322,,46766,46206,,1538,38013,14732,10762,19180,249355.24,420326.27,394506,141260.23,20260130
peipei,活动补贴,全部,business,帖子,游戏,316,3565,257796,361268.18,270412.47,26828,,44834,11534,,839,22781,3884,31114,418614,143198.53,431740.99,425760,68062.76,20260130
shanlian,充值收入,shell_asset,business,全端,视频,738,2262,47087,386707.07,254915.6,32908,,6747,29278,,555,32663,31236,37840,183513,1746.2,459718.76,21159,38766.2,20260130
shanlian,充值收入,tqbean_asset,finance,趣聊,视频,1996,1470,208248,305728.19,488348.29,3823,,14202,8192,,796,43470,16756,22630,90088,476515.17,185608.5,232417,44536.11,20260130
taqu,分成收入,shell_asset,finance,直播,贝壳分成,780,1860,175642,43270.69,257470.23,9610,,42421,9731,,952,26195,48800,31367,192988,61085.83,171299.01,292542,40021.13,20260130
peipei,礼物收入,全部,business,直播,充值,818,3343,314824,465351.79,97061.27,32280,,28473,15109,,528,8488,9794,34916,494758,177476.2,200123.42,405447,189293.7,20260130
peipei,分成收入,tqbean_asset,finance,帖子,视频,1380,1447,97642,168509.3,289865.04,6685,,2316,15274,,1469,30902,48060,45807,374541,442673.2,3452.81,363292,116813.48,20260130
shantang,活动补贴,tqbean_asset,finance,帖子,贝壳分成,912,91,140036,98756.84,116610.78,49916,,12887,44747,,1294,41074,35219,33727,110384,266687.58,183567.17,332722,153208.71,20260130
taqu,活动补贴,全部,business,趣聊,游戏,1281,103,141233,232370.0,219944.08,38826,,34325,46587,,1282,24358,49331,45028,355221,56835.9,474738.78,299560,131745.02,20260130
peipei,分成收入,shell_asset,business,直播,贝壳分成,730,2516,158571,363953.21,345580.41,6282,,24094,32077,,1426,35348,14578,30380,325438,334358.61,217538.11,15790,64641.77,20260130
shantang,充值收入,全部,business,全端,游戏,1084,2970,323349,102089.11,362913.85,8702,,34483,36444,,1301,37497,2491,14480,316266,228407.1,455089.21,245759,182741.06,20260130
peipei,充值收入,tqbean_asset,business,帖子,送礼,487,1351,49599,296931.45,187065.46,38119,,44183,27564,,1634,23776,5288,44625,359110,363742.11,63883.39,6125,79224.51,20260130
fengyue,礼物收入,shell_asset,business,群聊,充值,609,4048,218917,235515.62,435416.26,37240,,37814,44468,,877,16162,9327,36668,305961,179187.44,307818.9,466919,146142.63,20260130
shantang,充值收入,shell_asset,finance,家族,视频,780,1383,80060,51581.69,176234.83,49766,,26243,15860,,904,19330,13493,37536,354767,492893.88,113926.07,316521,51434.21,20260130
shanlian,礼物收入,tqbean_asset,business,社交,语音,1613,2342,217452,181146.93,389347.61,42789,,24117,13001,,962,3814,33655,32151,113875,15655.69,74808.51,446783,18207.96,20260130
shantang,充值收入,shell_asset,business,全端,充值,1398,1374,183985,367915.19,328405.87,30225,,13427,47173,,1693,12182,11141,47822,107219,142540.51,252496.07,140457,112856.05,20260130
peipei,分成收入,全部,business,聊天室,送礼,1632,786,304223,61921.19,301604.07,19815,,35960,34039,,811,47185,47661,1501,392057,221182.57,488081.33,391058,30850.38,20260130
shanlian,分成收入,全部,finance,社交,贝壳分成,960,4211,187382,307018.86,315050.46,18310,,5987,31741,,1628,3819,40393,43967,12168,299735.06,247824.42,481536,82966.73,20260130
shanlian,礼物收入,shell_asset,business,聊天室,视频,1668,2022,375270,135950.08,217664.53,37660,,19670,16707,,1623,13985,45132,15322,282885,220239.97,274551.16,29863,148840.06,20260130
shanlian,礼物收入,全部,business,趣聊,视频,894,2824,481501,493683.06,276562.9,28999,,35541,19853,,920,29002,5935,38890,277172,461181.54,269872.94,123936,195332.89,20260130
shanlian,活动补贴,shell_asset,finance,帖子,游戏,1678,3303,266396,159455.69,107160.92,2659,,25891,10337,,662,3785,9817,15711,23634,255752.0,285324.21,310217,165739.64,20260130
fengyue,分成收入,全部,finance,社交,语音,1905,1821,156327,387264.24,116097.19,16458,,34628,26587,,675,11587,7346,12233,430046,51061.48,177834.64,16878,164508.91,20260130
peipei,礼物收入,tqbean_asset,finance,全端,充值,676,2542,219995,310948.89,190880.4,45,,19638,38496,,434,31256,26369,17010,231366,138102.33,215156.31,479202,116567.78,20260130
taqu,礼物收入,tqbean_asset,finance,群聊,送礼,1663,2769,23215,492506.48,118869.87,37653,,44602,26546,,641,23012,36126,26789,372328,251354.22,463097.08,36768,127694.72,20260130
taqu,活动补贴,tqbean_asset,business,直播,游戏,1233,1815,112647,108337.51,65511.07,35639,,27261,46835,,1354,26286,83,6580,427254,111712.27,156897.67,392800,64.74,20260130
taqu,活动补贴,shell_asset,finance,趣聊,游戏,23,867,459261,442138.78,34289.96,19287,,23187,30519,,1972,35519,6071,24561,293043,27399.51,373836.8,342923,161683.91,20260130
peipei,礼物收入,tqbean_asset,business,社交,贝壳分成,1606,3061,18969,438543.59,168021.47,37721,,6218,44029,,1660,38870,14589,37774,215893,266127.39,40741.96,227068,158990.67,20260130
fengyue,分成收入,tqbean_asset,finance,聊天室,贝壳分成,637,4999,496983,73801.57,425344.89,46342,,10678,49231,,1857,46883,23962,1131,257108,459204.53,350997.35,314658,84512.89,20260130
shantang,充值收入,tqbean_asset,finance,帖子,充值,572,4722,185081,81596.69,67384.57,36866,,17379,2709,,106,13972,31326,44316,38294,467816.89,235592.33,190429,104430.06,20260130
shanlian,充值收入,全部,business,群聊,语音,1107,56,203769,199713.26,34146.64,11882,,27165,48539,,1476,2151,42576,15043,480693,29772.78,194164.85,435246,74119.66,20260130
taqu,活动补贴,shell_asset,finance,群聊,充值,225,965,290648,215810.82,415731.19,4159,,35523,5365,,1366,47832,8635,43789,372483,322534.9,115011.17,356278,122916.23,20260130
peipei,充值收入,tqbean_asset,finance,帖子,语音,731,4781,458655,372769.98,384493.09,38063,,47228,8890,,878,9872,14494,7538,414561,142244.47,331374.98,314590,86094.96,20260130
peipei,礼物收入,全部,business,聊天室,贝壳分成,220,4675,399932,202280.67,273786.47,18887,,23547,2021,,334,5836,4266,9239,395593,24476.59,108576.18,221350,1177.15,20260130
taqu,活动补贴,tqbean_asset,finance,群聊,语音,522,3334,440315,21250.57,270557.67,4939,,45337,40054,,1857,6698,16820,2499,421759,387210.23,420390.12,143222,84970.42,20260130
shanlian,活动补贴,全部,business,社交,送礼,1679,3309,6058,295311.28,405777.52,48509,,21785,32866,,847,8631,45371,29932,137508,170240.14,216099.2,292291,44087.72,20260130
peipei,礼物收入,shell_asset,business,家族,充值,1245,2246,40985,152524.55,332577.79,43117,,1053,19028,,735,29773,42633,29036,475896,215539.23,158098.03,99894,134896.58,20260130
peipei,分成收入,shell_asset,business,社交,游戏,175,4919,422797,172698.25,22448.12,25607,,18723,32464,,1074,41288,26270,8091,246107,494614.25,336148.03,196778,178027.4,20260130
shanlian,充值收入,全部,business,直播,充值,1246,3653,203468,42401.18,379277.48,25358,,8985,47130,,817,28533,516,12428,161712,298382.06,63737.36,423579,188245.82,20260130
peipei,分成收入,全部,finance,群聊,送礼,810,3027,198431,78700.66,248818.33,32182,,44814,19356,,323,4122,23850,32587,499041,66068.44,43368.47,491683,29503.53,20260130
shantang,充值收入,tqbean_asset,business,社交,充值,699,3197,435757,16923.24,260499.45,48832,,34241,40586,,1229,25590,4097,29662,94242,54000.24,477894.97,29656,67895.84,20260130
shantang,活动补贴,全部,finance,直播,语音,407,718,98785,359496.02,257517.76,24344,,27112,1091,,1254,40873,15069,18884,348065,74706.83,74711.51,380424,143565.69,20260130
taqu,礼物收入,tqbean_asset,business,直播,语音,1820,1853,380390,54501.43,407192.75,45767,,41987,4922,,1765,2029,35274,31816,268432,111222.76,347333.39,419618,171623.83,20260130
fengyue,充值收入,全部,business,全端,送礼,1548,1217,50682,463985.13,213542.05,34793,,9651,14947,,444,32249,40809,37083,453768,340727.87,372920.4,42367,100449.65,20260130
taqu,分成收入,tqbean_asset,business,直播,充值,1993,3345,180252,496689.75,259659.14,40406,,49467,28522,,1391,21790,23699,33025,248235,225829.26,141120.38,495011,174188.64,20260130
shantang,充值收入,全部,business,群聊,游戏,1070,4367,75343,97710.84,378597.7,32374,,41056,9771,,636,19361,49011,12168,67245,319697.29,101299.55,61213,13521.69,20260130
fengyue,礼物收入,shell_asset,finance,趣聊,充值,515,2755,191639,115200.64,368108.35,12234,,33474,30915,,14,17170,28926,25998,247891,217574.09,457540.85,371505,8852.16,20260130
shantang,活动补贴,shell_asset,business,全端,送礼,1480,1059,29158,312884.38,156702.97,4735,,44827,14099,,1866,25560,36401,23586,316762,94791.1,185708.86,393250,141869.58,20260130
fengyue,礼物收入,全部,finance,趣聊,视频,1723,2421,373226,449238.96,41099.76,17257,,14409,248,,1677,7981,997,25407,42792,138681.47,143077.94,74625,118176.21,20260130
peipei,活动补贴,shell_asset,business,群聊,语音,555,1677,111953,34563.77,397848.31,31380,,6336,8026,,1743,23751,14862,14882,429228,121519.46,138313.72,304416,186567.38,20260130
shantang,分成收入,tqbean_asset,finance,群聊,送礼,1536,374,391282,103010.91,316590.36,14829,,19299,19760,,1228,32527,23874,48424,372999,271368.91,177972.42,289170,143388.23,20260130
taqu,分成收入,全部,business,聊天室,送礼,1941,1071,60609,183178.02,295381.71,32711,,39780,16720,,934,28646,14391,33749,66880,245522.1,144233.02,454812,9007.24,20260130
shantang,礼物收入,tqbean_asset,finance,帖子,充值,469,4932,168554,132019.33,20478.62,28768,,903,18994,,423,44942,7710,20460,383692,470900.44,368902.48,473499,105072.08,20260130
fengyue,活动补贴,shell_asset,business,全端,贝壳分成,1758,4066,134132,3188.84,8999.4,26390,,25231,26943,,723,26359,820,244,352431,483489.57,188812.58,375939,27849.96,20260130
peipei,礼物收入,tqbean_asset,finance,趣聊,送礼,1189,1741,450215,428199.16,207669.05,35204,,10815,31507,,1618,17143,49974,28859,70078,213330.84,354157.46,112980,119739.35,20260130
shantang,活动补贴,全部,business,直播,贝壳分成,1200,3529,298802,83049.87,380245.08,26364,,26272,43262,,66,17902,35591,23089,121431,47250.36,101192.29,342586,182829.17,20260130
shantang,活动补贴,全部,finance,家族,送礼,1979,4266,344889,154643.45,430106.79,28376,,23034,6427,,1980,17130,11882,7756,15251,436459.09,374680.74,245200,111466.05,20260130
taqu,礼物收入,shell_asset,finance,全端,视频,516,4333,49727,41581.73,205384.86,22154,,37970,22912,,1511,36207,40987,46514,195177,286358.07,129004.49,38404,124532.97,20260130
fengyue,礼物收入,tqbean_asset,business,帖子,充值,1862,3226,176398,288100.28,88633.05,26197,,30226,28027,,1008,31210,31989,23993,297772,104799.86,394156.5,222898,14380.52,20260130
shanlian,分成收入,shell_asset,finance,聊天室,游戏,708,1802,406024,407012.8,277698.93,35895,,42752,35679,,366,28334,32203,8537,100657,100242.0,303466.06,356293,162282.24,20260130
fengyue,活动补贴,tqbean_asset,finance,聊天室,送礼,153,671,117411,304894.78,167156.14,34451,,14,20173,,375,49111,13029,27046,131656,249695.68,78141.93,39104,52309.7,20260130
peipei,礼物收入,tqbean_asset,business,直播,送礼,1638,3149,407548,409636.36,411657.08,30164,,46139,39688,,638,41211,43166,39504,299204,477860.04,171313.52,474866,96241.52,20260130
peipei,分成收入,shell_asset,business,直播,视频,1364,1893,202954,226045.3,488904.14,38275,,44275,25847,,92,11876,49917,12692,240160,90602.13,152776.32,353698,34690.2,20260130
shanlian,分成收入,tqbean_asset,business,群聊,语音,1270,3841,54294,332286.52,376460.74,23857,,23718,44697,,1265,12810,10286,32040,244792,3556.51,57815.76,175973,61650.89,20260130
peipei,分成收入,全部,business,聊天室,充值,1280,1498,382812,418346.52,206854.4,38419,,27787,33290,,832,33317,36164,45079,281039,433741.88,343333.57,220253,150864.95,20260130
taqu,分成收入,tqbean_asset,business,家族,游戏,775,3922,451932,414976.66,460216.24,38742,,19224,13928,,1875,12749,26917,17944,142366,441854.04,25530.18,200633,40152.91,20260130
fengyue,分成收入,全部,business,群聊,语音,1217,3225,423873,435938.79,131918.89,21940,,33963,29127,,1518,25378,25232,40568,135938,409632.39,316506.62,232059,148916.31,20260130
shanlian,充值收入,shell_asset,business,家族,语音,1768,2619,339620,18039.45,319263.06,16592,,1541,23890,,906,32450,11118,39355,339452,2780.07,362487.52,356110,166349.92,20260130
peipei,活动补贴,tqbean_asset,business,群聊,语音,1797,221,124268,220463.14,407370.8,18327,,36304,2132,,1075,477,24549,15045,278971,107956.09,364698.58,194968,184982.57,20260130
peipei,充值收入,全部,finance,帖子,充值,833,4922,199111,151471.93,370166.46,2811,,45654,18133,,972,14510,30054,13699,29025,483795.16,437736.78,45802,70349.63,20260130
