question,conditions
30日乖离波动预警且市盈率最低的十只股票,"[{""date"": ""2025-12-04"", ""factor"": ""30日乖离波动预警"", ""id"": ""1891"", ""classid"": 3, ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""动态市盈率"", ""id"": ""c49"", ""classid"": ""1"", ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort"": ""升序"", ""sort_type"": ""1"", ""limit"": ""10""}]"
120日下破预警的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""120日下破预警"", ""id"": ""3687"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
5到10元电力股有唧些,"[{""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4>=5"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4<=10"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""电力"", ""id"": ""3405"", ""classid"": 1, ""subclassid"": ""11"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
20日连阴新低的上市公司有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""20日连阴新低"", ""id"": ""1439"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
营业总收入同比增长10%的股票,"[{""date"": ""2025-12-04"", ""factor"": ""营业总收入同比增长"", ""id"": ""4223"", ""classid"": 4, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
中国异常波动的上市公司是,"[{""date"": ""2025-12-04"", ""factor"": ""异常波动"", ""id"": ""3819"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
连续小阳上涨个股,"[{""date"": ""2025-12-04"", ""factor"": ""连续小碎阳"", ""id"": ""1206"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
5日乖离新高的股票有哪些，能炒吗,"[{""date"": ""2025-12-04"", ""factor"": ""5日乖离新高"", ""id"": ""1577"", ""classid"": 3, ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
涉及CCI空头60日释放的上市公司有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""cci空头60日释放"", ""id"": ""1825"", ""classid"": 3, ""subclassid"": ""6"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
沪股通买入的股票，市值大于200亿,"[{""date"": ""2025-12-04"", ""factor"": ""沪股通买入"", ""id"": ""4089"", ""classid"": 8, ""subclassid"": ""4"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""总市值"", ""id"": ""c42>200.0亿元"", ""classid"": ""1"", ""subclassid"": ""8"", ""back_test_type"": ""1"", ""sort"": ""降序"", ""sort_type"": ""2""}]"
今天曾涨停但收盘未封板，且静态市销率小于5,"[{""date"": ""2025-12-05"", ""factor"": ""当日炸板"", ""id"": ""1148"", ""classid"": ""2"", ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""静态市销率"", ""id"": ""c52<5"", ""classid"": ""1"", ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort"": ""升序"", ""sort_type"": ""1""}]"
营业总利润稳步提高，且涨幅大于4%,"[{""date"": ""2025-12-04"", ""factor"": ""营业总利润稳步提高"", ""id"": ""901"", ""classid"": 4, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""1日涨幅"", ""id"": ""c24[1]>4%"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort"": ""降序"", ""sort_type"": ""2""}]"
30日带量上攻的储能板块股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""30日带量上攻"", ""id"": ""3692"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""储能"", ""id"": ""219"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
今天技术面反弹的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""阳包阴"", ""id"": ""62"", ""classid"": ""3"", ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
找出10日阴线追踪的个股,"[{""date"": ""2025-12-04"", ""factor"": ""10日阴线追踪"", ""id"": ""4045"", ""classid"": 3, ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
cpo和pcb龙头,"[{""date"": ""2025-12-04"", ""factor"": ""cpo概念"", ""id"": ""987"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""pcb概念"", ""id"": ""660"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""茅概念"", ""id"": ""748"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
帮我推荐空头爆发的液冷股票,"[{""date"": ""2025-12-04"", ""factor"": ""空头爆发"", ""id"": ""4038"", ""classid"": 3, ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""液冷概念"", ""id"": ""1469"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
选出90日波动最大的前5只股。,"[{""date"": ""2025-12-04"", ""factor"": ""90日波动"", ""id"": ""1721"", ""classid"": ""2"", ""subclassid"": ""5"", ""back_test_type"": ""1"", ""sort"": ""降序"", ""sort_type"": ""2"", ""limit"": ""5""}]"
股息率最高的股份制银行,"[{""date"": ""2025-12-04"", ""factor"": ""股份制银行ⅱ"", ""id"": ""3451"", ""classid"": 1, ""subclassid"": ""11"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""股息率"", ""id"": ""c122"", ""classid"": ""3"", ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
"机器人概念中,哪个应用最广泛,行业占据优势的股票","[{""date"": ""2025-12-04"", ""factor"": ""机器人概念"", ""id"": ""2741"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""茅概念"", ""id"": ""748"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
选出9月3日阴线诱空股；非st板；非科创板,"[{""date"": ""2025-09-03"", ""factor"": ""阴线诱空"", ""id"": ""1722"", ""classid"": ""3"", ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""非ST板块"", ""id"": ""!651"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""非科创板"", ""id"": ""7349"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
20日BIAS积极且与核电相关的股票,"[{""date"": ""2025-12-04"", ""factor"": ""20日bias积极"", ""id"": ""3743"", ""classid"": 3, ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""核电"", ""id"": ""329"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
商业航天股票有哪些多空波段的,"[{""date"": ""2025-12-04"", ""factor"": ""商业航天（航天航空）"", ""id"": ""224"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""多空波段"", ""id"": ""3963"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
商业航天股票有哪些中期MATR低迷的,"[{""date"": ""2025-12-04"", ""factor"": ""商业航天（航天航空）"", ""id"": ""224"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""中期matr低迷"", ""id"": ""3964"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
30日连阴新低的上市公司有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""30日连阴新低"", ""id"": ""1440"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
5日换手变动低迷的创新材料类上市公司有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""5日换手变动低迷"", ""id"": ""3862"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""新材料"", ""id"": ""276"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
5日乖离波动预警且市盈率最低的十只股票,"[{""date"": ""2025-12-04"", ""factor"": ""5日乖离波动预警"", ""id"": ""1888"", ""classid"": 3, ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""动态市盈率"", ""id"": ""c49"", ""classid"": ""1"", ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort"": ""升序"", ""sort_type"": ""1"", ""limit"": ""10""}]"
短线阿尔法002相关的核电SMR股票有哪些,"[{""date"": ""2025-12-05"", ""factor"": ""短线阿尔法002"", ""id"": ""7097"", ""classid"": 10, ""subclassid"": ""4"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""核电"", ""id"": ""329"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
低位10日BIAS异动上穿20日线,"[{""date"": ""2025-12-04"", ""factor"": ""10日bias异动"", ""id"": ""3734"", ""classid"": 3, ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""上穿20日线"", ""id"": ""1508"", ""classid"": 3, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
近六十日成交量创近期新高的股票,"[{""date"": ""2025-12-04"", ""factor"": ""60日高量"", ""id"": ""1385"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
有哪些上影线反包形态的个股,"[{""date"": ""2025-12-04"", ""factor"": ""上影线反包"", ""id"": ""1203"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
5日下破预警的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""5日下破预警"", ""id"": ""3682"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
选出20日相对活跃的股票,"[{""date"": ""2025-12-04"", ""factor"": ""20日相对活跃"", ""id"": ""1690"", ""classid"": 2, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
营业总利润高速增长的股票,"[{""date"": ""2025-12-04"", ""factor"": ""营业总利润高速增长"", ""id"": ""900"", ""classid"": 4, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
近五日持续上涨的股票,"[{""date"": ""2025-12-04"", ""factor"": ""5连阳"", ""id"": ""3986"", ""classid"": ""3"", ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
请提供与上穿年线相关的在主板的优质股,"[{""date"": ""2025-12-04"", ""factor"": ""上穿年线"", ""id"": ""1512"", ""classid"": 3, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""沪深主板等权"", ""id"": ""942"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
找出底部十字星股票,"[{""date"": ""2025-12-04"", ""factor"": ""早晨之星"", ""id"": ""63"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
"量比>1,市值50亿内,MACD金叉,股价10元之内的股票","[{""date"": ""2025-12-04"", ""factor"": ""量比"", ""id"": ""c39>1"", ""classid"": ""1"", ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""总市值"", ""id"": ""c42<=50.0亿元"", ""classid"": ""1"", ""subclassid"": ""8"", ""back_test_type"": ""1"", ""sort"": ""升序"", ""sort_type"": ""1""}, {""date"": ""2025-12-04"", ""factor"": ""macd金叉"", ""id"": ""84"", ""classid"": 3, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4<=10"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
3日超大单流出的个股有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""3日超大单流出"", ""id"": ""1404"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
券商股龙头企业中出现250日价格突变的股票,"[{""date"": ""2025-12-04"", ""factor"": ""券商"", ""id"": ""266"", ""classid"": 1, ""subclassid"": ""1"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""250日价格突变"", ""id"": ""3681"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
ATR中期新高，资金加速流入，MACD多头，生成策略,"[{""date"": ""2025-12-04"", ""factor"": ""atr中期新高"", ""id"": ""3811"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""资金加速流入"", ""id"": ""1271"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""macd多头"", ""id"": ""94"", ""classid"": 3, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
cpo股票龙头,"[{""date"": ""2025-12-04"", ""factor"": ""cpo概念"", ""id"": ""987"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""月度强势"", ""id"": ""3"", ""classid"": 2, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
半导体中放量涨停的龙头股有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""半导体"", ""id"": ""547"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""放量涨停"", ""id"": ""1413"", ""classid"": 2, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""月度强势"", ""id"": ""3"", ""classid"": ""2"", ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
帮我选出逼近250日高点，涨幅超过5%的股票,"[{""date"": ""2025-12-04"", ""factor"": ""逼近250日高点"", ""id"": ""3710"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""1日涨幅"", ""id"": ""c24[1]>5%"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort"": ""降序"", ""sort_type"": ""2""}]"
回踩布林线中轨的企业有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""回踩中轨"", ""id"": ""111"", ""classid"": 3, ""subclassid"": ""8"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
20日M-ATR强劲，且业绩增长的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""20日m-atr强劲"", ""id"": ""3800"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""净利润增长"", ""id"": ""c103[1]>0"", ""classid"": ""3"", ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
请选出出现120日BIAS高涨信号的个股,"[{""date"": ""2025-12-04"", ""factor"": ""120日bias高涨"", ""id"": ""3770"", ""classid"": 3, ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
沪深两市一年新低的半导体设备公司有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""一年新低"", ""id"": ""41"", ""classid"": 2, ""subclassid"": ""4"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""半导体设备"", ""id"": ""1686"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""沪市等权|深市等权"", ""id"": ""846|847"", ""classid"": ""1"", ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""一年新低"", ""id"": ""41"", ""classid"": 2, ""subclassid"": ""4"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""半导体设备"", ""id"": ""1686"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""沪市等权|深市等权"", ""id"": ""846|847"", ""classid"": ""1"", ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
帮我筛选出属于10日VOL中时序预警的股票,"[{""date"": ""2025-12-04"", ""factor"": ""10日vol中时序预警"", ""id"": ""1861"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
30日M-ATR异动，资金加速流入，MACD多头，生成策略,"[{""date"": ""2025-12-04"", ""factor"": ""30日m-atr异动"", ""id"": ""3806"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""资金加速流入"", ""id"": ""1271"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""macd多头"", ""id"": ""94"", ""classid"": 3, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
阳包阴的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""阳包阴"", ""id"": ""62"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
推荐低价位且有发展潜力的商誉资产比例低的股票！,"[{""date"": ""2025-12-04"", ""factor"": ""低价"", ""id"": ""148"", ""classid"": 1, ""subclassid"": ""3"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""商誉资产比例低"", ""id"": ""923"", ""classid"": 4, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
存储芯片概念中，KD在高位多次出现金叉的公司有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""存储概念"", ""id"": ""3642"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""kd高位多次金叉"", ""id"": ""1545"", ""classid"": 3, ""subclassid"": ""4"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
60日内有连板且和消费电子直接关联的有哪些股票,"[{""date"": ""2025-12-04"", ""factor"": ""60日有连板"", ""id"": ""1372"", ""classid"": 2, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""消费电子"", ""id"": ""648"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
与固态电池相关的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""固态电池"", ""id"": ""663"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
华为做人形机器人的亲儿子是那家上市公司,"[{""date"": ""2025-12-04"", ""factor"": ""华为概念"", ""id"": ""617"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""人形机器人"", ""id"": ""7030"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
今天低市净率且成交额达10亿的股票,"[{""date"": ""2025-12-04"", ""factor"": ""低市净率"", ""id"": ""955"", ""classid"": 4, ""subclassid"": ""6"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""1日均成交额"", ""id"": ""c33[1]>=1000000000"", ""classid"": ""1"", ""subclassid"": ""4"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
中国60日M-ATR强劲的上市公司是,"[{""date"": ""2025-12-04"", ""factor"": ""60日m-atr强劲"", ""id"": ""3816"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
明年大概率转增或高送转且总市值高于行业均值的公司,"[{""date"": ""2025-12-04"", ""factor"": ""高送转"", ""id"": ""445"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""总市值高于行业均值"", ""id"": ""959"", ""classid"": 2, ""subclassid"": ""8"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
目前K线呈5日M-ATR强突形态的股票有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""5日m-atr强突"", ""id"": ""3788"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
0——10元；市值10——20亿；BOLL变动连续走低,"[{""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4>=0"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4<=10"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""总市值"", ""id"": ""c42>=10.0亿元"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""总市值"", ""id"": ""c42<=20.0亿元"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""boll变动连续走低"", ""id"": ""1852"", ""classid"": 3, ""subclassid"": ""8"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
请找出10日M-ATR爆发的股票,"[{""date"": ""2025-12-04"", ""factor"": ""10日m-atr爆发"", ""id"": ""3797"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
增量超大_超大买增量大于2，均线多头排列，股价在5日均线上，主板，非ST,"[{""date"": ""2025-12-05"", ""factor"": ""增量超大_超大买增量"", ""id"": ""c69>2"", ""classid"": ""2"", ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""短期均线多头"", ""id"": ""73"", ""classid"": 3, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""收盘价不复权"", ""id"": ""c4>c21[4]"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""沪深主板等权"", ""id"": ""942"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""非ST板块"", ""id"": ""!651"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
现在有5日资金流出新高的股票,"[{""date"": ""2025-12-04"", ""factor"": ""5日资金流出新高"", ""id"": ""1274"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
2025年社保基金持股的芯片公司有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""社保重仓"", ""id"": ""153"", ""classid"": ""1"", ""subclassid"": ""3"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""芯片概念"", ""id"": ""627"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
请查询2025-10-22换手率30日变动积极的股票,"[{""date"": ""2025-10-22"", ""factor"": ""30日换手变动积极"", ""id"": ""3920"", ""classid"": ""3"", ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
北交所的半导体概念股票,"[{""date"": ""2025-12-04"", ""factor"": ""北交所等权"", ""id"": ""865"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""半导体"", ""id"": ""547"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
中期人气活跃的小盘股，个股大资金流入,"[{""date"": ""2025-12-04"", ""factor"": ""中期人气活跃"", ""id"": ""1897"", ""classid"": 3, ""subclassid"": ""12"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""小盘"", ""id"": ""142"", ""classid"": 1, ""subclassid"": ""3"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""超大单流入"", ""id"": ""1397"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
死叉回落60日高，且涨幅超过10%,"[{""date"": ""2025-12-04"", ""factor"": ""死叉回落60日高"", ""id"": ""4008"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""1日涨幅"", ""id"": ""c24[1]>10%"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort"": ""降序"", ""sort_type"": ""2""}]"
